ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
101/09/27,"55,641,705","4,843,917,168",86.80,87.80,86.20,87.60,+1.20,"13,494"
101/09/28,"70,929,037","6,323,798,528",88.60,89.80,88.50,89.80,+2.20,"15,770"
101/10/01,"38,173,594","3,384,611,328",89.20,89.20,88.30,88.90,-0.90,"8,934"
101/10/02,"35,734,271","3,192,851,647",89.20,89.80,88.90,89.60,+0.70,"6,356"
101/10/03,"32,589,245","2,921,834,923",89.60,89.90,89.30,89.80,+0.20,"7,271"
101/10/04,"39,780,768","3,586,440,559",89.90,90.60,89.50,90.60,+0.80,"10,858"
101/10/05,"42,175,189","3,837,331,745",91.00,91.30,90.40,91.00,+0.40,"9,903"
101/10/08,"40,762,655","3,649,042,097",91.00,91.00,89.00,89.10,-1.90,"9,458"
101/10/09,"61,216,255","5,366,535,777",87.20,88.50,87.10,87.10,-2.00,"15,175"
101/10/11,"77,901,683","6,639,961,233",85.10,85.70,84.80,85.50,-1.60,"16,816"
101/10/12,"24,739,631","2,125,552,996",85.60,86.30,85.30,86.30,+0.80,"7,531"
101/10/15,"19,652,476","1,688,835,188",86.10,86.40,85.40,86.40,+0.10,"5,790"
101/10/16,"29,927,964","2,605,642,551",86.70,87.50,86.70,87.50,+1.10,"8,318"
101/10/17,"35,886,090","3,129,200,403",87.80,88.00,86.50,87.40,-0.10,"11,696"
101/10/18,"23,090,340","2,022,320,120",87.00,88.20,87.00,88.10,+0.70,"6,779"
101/10/19,"27,673,474","2,398,661,445",86.20,87.30,86.20,86.70,-1.40,"7,739"
101/10/22,"21,235,789","1,824,506,814",86.30,86.30,85.60,86.00,-0.70,"6,010"
101/10/23,"16,192,754","1,390,372,758",85.90,86.30,85.60,85.70,-0.30,"4,900"
101/10/24,"30,208,483","2,592,332,070",85.10,86.40,85.10,85.40,-0.30,"7,746"
101/10/25,"39,418,993","3,351,045,905",85.40,85.60,84.50,84.80,-0.60,"11,631"
101/10/26,"68,297,593","5,948,363,091",86.50,88.30,86.30,87.30,+2.50,"16,865"
101/10/29,"37,746,925","3,334,640,360",88.30,89.10,87.60,88.10,+0.80,"10,906"
101/10/30,"30,349,208","2,684,851,877",88.80,89.00,87.70,88.00,-0.10,"8,727"
101/10/31,"26,035,534","2,302,952,644",88.00,88.80,87.90,88.70,+0.70,"6,833"
101/11/01,"36,018,430","3,184,279,870",88.60,89.20,87.70,89.20,+0.50,"7,548"
101/11/02,"39,106,042","3,513,506,904",90.00,90.10,89.50,89.90,+0.70,"9,149"
101/11/05,"31,496,291","2,830,445,174",89.90,90.30,88.80,90.30,+0.40,"7,537"
101/11/06,"26,410,622","2,380,950,880",90.60,90.60,89.70,90.40,+0.10,"7,490"
101/11/07,"22,104,042","2,001,256,326",90.50,91.00,90.00,91.00,+0.60,"7,062"
101/11/08,"39,982,021","3,613,654,978",90.80,90.90,89.90,90.50,-0.50,"9,834"
101/11/09,"38,435,994","3,471,644,015",90.30,90.90,89.50,90.80,+0.30,"9,270"
101/11/12,"29,957,365","2,735,085,181",91.00,91.80,90.60,91.30,+0.50,"9,522"
101/11/13,"41,761,048","3,757,311,680",91.00,91.00,89.30,90.30,-1.00,"11,539"
101/11/14,"31,098,501","2,811,100,212",90.00,90.90,89.50,90.50,+0.20,"6,542"
101/11/15,"25,096,315","2,259,688,850",89.90,90.60,89.00,90.20,-0.30,"6,977"
101/11/16,"33,802,911","3,035,657,490",89.20,90.30,89.20,90.20, 0.00,"6,953"
101/11/19,"24,008,686","2,163,252,687",89.70,90.50,89.70,90.00,-0.20,"6,294"
101/11/20,"21,474,874","1,936,744,971",90.00,90.40,89.80,90.40,+0.40,"5,637"
101/11/21,"30,262,482","2,730,418,163",90.30,90.90,89.20,90.50,+0.10,"7,078"
101/11/22,"20,798,294","1,891,304,729",90.30,91.30,90.30,91.30,+0.80,"6,279"
101/11/23,"64,301,847","6,044,532,536",91.60,95.50,91.50,95.50,+4.20,"19,913"
101/11/26,"40,021,016","3,812,894,830",95.50,95.60,94.90,95.30,-0.20,"10,458"
101/11/27,"50,925,485","4,866,241,979",94.60,96.30,94.30,96.30,+1.00,"12,275"
101/11/28,"63,210,896","6,054,403,755",95.80,96.10,95.30,95.90,-0.40,"9,478"
101/11/29,"56,516,236","5,454,663,600",96.00,97.30,95.50,96.50,+0.60,"10,024"
101/11/30,"76,884,589","7,526,710,825",96.00,98.80,95.90,98.70,+2.20,"16,933"
101/12/03,"44,060,536","4,311,338,915",98.30,98.60,96.80,97.90,-0.80,"12,502"
101/12/04,"43,075,268","4,147,396,261",96.90,97.20,95.30,96.60,-1.30,"13,639"
101/12/05,"60,542,922","5,812,102,471",94.60,97.10,94.60,96.90,+0.30,"15,177"
101/12/06,"33,501,484","3,236,359,575",96.60,96.90,96.10,96.60,-0.30,"9,439"
101/12/07,"37,114,121","3,636,255,890",97.10,98.50,97.10,98.10,+1.50,"11,574"
101/12/10,"30,865,940","2,996,197,439",97.90,98.00,96.50,96.50,-1.60,"8,883"
101/12/11,"40,668,489","3,972,651,022",97.30,98.30,96.70,98.30,+1.80,"12,010"
101/12/12,"42,272,408","4,143,972,704",98.30,98.50,97.20,98.40,+0.10,"10,100"
101/12/13,"45,585,236","4,499,194,209",98.30,99.40,97.90,99.20,+0.80,"11,536"
101/12/14,"34,112,762","3,352,051,425",98.20,98.60,97.50,98.40,-0.80,"9,201"
101/12/17,"46,715,917","4,526,485,549",96.40,97.70,96.20,97.00,-1.40,"12,256"
101/12/18,"35,430,802","3,409,270,783",95.00,96.70,95.00,96.70,-0.30,"10,534"
101/12/19,"27,889,579","2,701,305,036",96.70,97.30,96.20,97.30,+0.60,"8,341"
101/12/20,"35,517,115","3,409,134,340",96.10,96.90,95.10,96.00,-1.30,"10,738"
101/12/21,"34,754,207","3,303,552,359",95.10,96.50,94.60,94.80,-1.20,"10,874"
101/12/22,"8,384,951","803,332,094",95.70,96.20,95.00,95.70,+0.90,"3,112"
101/12/24,"17,215,850","1,646,053,359",96.00,96.40,95.10,95.20,-0.50,"5,291"
101/12/25,"16,006,069","1,543,165,588",96.00,97.30,95.60,96.50,+1.30,"5,358"
101/12/26,"12,055,449","1,164,163,504",96.50,97.30,96.00,96.00,-0.50,"5,045"
101/12/27,"24,204,700","2,319,460,051",96.20,96.70,95.50,95.60,-0.40,"5,925"
101/12/28,"25,705,388","2,483,313,883",96.80,97.00,95.90,97.00,+1.40,"7,825"
102/01/02,"40,647,121","4,021,304,950",97.60,99.90,97.10,99.60,+2.60,"14,353"
102/01/03,"44,335,846","4,472,175,100",100.50,102.00,100.00,101.00,+1.40,"12,616"
102/01/04,"39,502,577","3,980,403,777",100.50,101.50,100.00,101.50,+0.50,"10,276"
102/01/07,"42,328,657","4,237,769,552",101.00,101.00,99.10,100.50,-1.00,"9,042"
102/01/08,"31,218,717","3,100,841,808",99.60,100.00,98.90,99.70,-0.80,"9,463"
102/01/09,"26,417,262","2,638,483,776",100.50,100.50,99.20,100.00,+0.30,"7,616"
102/01/10,"41,234,333","4,133,510,035",99.90,101.00,99.50,101.00,+1.00,"8,304"
102/01/11,"22,993,851","2,319,676,468",101.50,101.50,100.50,101.00, 0.00,"7,982"
102/01/14,"23,575,867","2,375,656,925",101.00,102.00,100.00,102.00,+1.00,"6,414"
102/01/15,"36,015,126","3,620,754,003",102.00,102.00,99.80,100.50,-1.50,"10,021"
102/01/16,"35,496,359","3,543,926,150",100.50,100.50,99.20,99.20,-1.30,"8,742"
102/01/17,"40,526,293","4,042,971,250",100.50,101.00,98.50,99.30,+0.10,"9,034"
102/01/18,"49,874,215","5,045,047,215",101.50,101.50,100.50,101.50,+2.20,"11,823"
102/01/21,"17,310,236","1,738,509,600",101.00,101.00,100.00,100.50,-1.00,"5,625"
102/01/22,"21,946,618","2,205,121,218",101.00,101.00,99.90,101.00,+0.50,"5,388"
102/01/23,"30,821,432","3,111,421,288",101.50,101.50,100.00,101.00, 0.00,"7,292"
102/01/24,"40,653,209","4,059,542,810",100.00,100.50,99.20,99.90,-1.10,"8,257"
102/01/25,"48,674,849","4,801,805,861",99.90,99.90,98.00,99.00,-0.90,"11,885"
102/01/28,"29,190,978","2,893,310,122",98.70,99.50,98.60,99.30,+0.30,"7,200"
102/01/29,"36,060,537","3,624,866,512",100.00,101.50,99.70,101.00,+1.70,"12,071"
102/01/30,"28,862,623","2,923,728,423",102.00,102.00,100.50,101.50,+0.50,"6,963"
102/01/31,"42,489,565","4,266,277,265",100.50,101.50,100.00,101.50, 0.00,"6,481"
102/02/01,"23,211,035","2,343,091,003",101.50,101.50,100.50,101.50, 0.00,"7,596"
102/02/04,"35,257,079","3,618,099,182",102.00,103.00,102.00,103.00,+1.50,"10,873"
102/02/05,"17,896,471","1,832,150,196",103.00,103.00,101.50,103.00, 0.00,"5,200"
102/02/06,"32,330,330","3,369,267,370",103.50,105.00,103.00,105.00,+2.00,"9,340"
102/02/18,"64,345,580","6,895,059,371",107.00,108.50,106.50,107.00,+2.00,"13,470"
